"TLONGDD","TLATDD","RLONGDD","RLATDD","TAGNO","SPECIES","TDATE","UNIQUE","TGEAR","HOOKTYPE","TDEPTHFT","TLENIN","TWTLBS","RDATE","RGEAR","RETDEPTH"
-81.2833333333333,29.9166666666667,-81.1166666666667,29.9,"22693","RED SNAPPER",1999-03-01,6840,"RR","",65,14,NA,1999-06-02,"RR",60
-81.2833333333333,29.9166666666667,-81.1166666666667,29.8833333333333,"22695","RED SNAPPER",1999-03-01,6842,"RR","",65,13,NA,1999-05-28,"RR",63
-80.8,29.9,-80.8,29.8833333333333,"22703","RED SNAPPER",2000-04-07,6853,"RR","J",103,17,NA,2001-06-24,"RR",110
-81.1166666666667,29.9,-81.1166666666667,29.9,"23178","RED SNAPPER",1999-04-23,7102,"RR","J",72,14,NA,1999-05-21,"RR",65
-81.1166666666667,29.8833333333333,-81.1166666666667,29.9,"23196","RED SNAPPER",1999-05-28,7120,"RR","",63,14,NA,1999-08-08,"RR",60
-81.1166666666667,29.8833333333333,-81.1166666666667,29.9,"23199","RED SNAPPER",1999-05-28,7125,"RR","",63,16,NA,1999-08-08,"RR",60
-81.1166666666667,29.9,-80.7666666666667,30.4833333333333,"23199","RED SNAPPER",1999-08-08,7124,"RR","J",60,18,NA,2000-10-21,"RR",148
-81.0833333333333,29.95,-81.0833333333333,29.95,"23379","RED SNAPPER",1999-04-15,7229,"RR","J",68,13,NA,1999-10-12,"RR",68
-80.8,29.9,-80.8,29.9,"23391","RED SNAPPER",1999-04-10,7242,"RR","J",100,16,NA,1999-05-07,"RR",100
-80.95,29.8333333333333,-80.9833333333333,29.8333333333333,"23393","RED SNAPPER",1999-04-09,7244,"RR","J",75,15,NA,2000-04-06,"RR",80
-81.1166666666667,29.9,-80.1166666666667,29.9,"23395","RED SNAPPER",1999-04-07,7246,"RR","J",65,15,NA,2000-02-19,"RR",65
-81.1166666666667,29.9,-81.1166666666667,29.9,"23400","RED SNAPPER",1999-04-06,7253,"RR","J",65,10,NA,1999-07-14,"RR",68
-81.0833333333333,29.9333333333333,-81.0833333333333,29.9333333333333,"24636","RED SNAPPER",1999-07-08,8374,"RR","J",70,16,NA,1999-10-24,"RR",68
-81.1166666666667,29.9,-81.1166666666667,29.9,"24641","RED SNAPPER",1999-07-08,8380,"RR","J",70,11.5,NA,1999-11-07,"RR",70
-81.1166666666667,29.9,-81.1166666666667,29.9,"24670","RED SNAPPER",1999-07-09,8410,"RR","J",70,14,NA,1999-07-30,"RR",62
-81.1166666666667,29.9,-81.1166666666667,29.9,"24680","RED SNAPPER",1999-07-09,8421,"RR","J",70,11,NA,1999-08-08,"RR",70
-81.15,30.2,-81.1166666666667,29.8833333333333,"24763","RED SNAPPER",1999-06-14,8511,"RR","",80,14,NA,1999-08-05,"RR",65
-81.1166666666667,29.9,-81.1166666666667,29.9,"24793","RED SNAPPER",1999-06-17,8544,"RR","J",70,17.5,NA,1999-07-13,"RR",65
-81.1166666666667,29.9,-81.1166666666667,29.9,"24911","RED SNAPPER",1999-08-12,8665,"RR","J",60,14,NA,1999-08-22,"RR",60
-80.8333333333333,29.65,-80.8333333333333,29.65,"24947","RED SNAPPER",1999-08-21,8706,"RR","J",80,12,NA,1999-09-06,"RR",80
-80.5833333333333,29.9,-80.5833333333333,29.9,"24953","RED SNAPPER",1999-08-02,8713,"RR","J",120,16,NA,2000-06-21,"RR",120
-80.8333333333333,29.65,-80.8333333333333,29.65,"24980","RED SNAPPER",1999-08-07,8741,"RR","J",85,13,NA,1999-08-21,"RR",80
-81.1166666666667,29.9,-81.1166666666667,29.9,"24995","RED SNAPPER",1999-08-10,8757,"RR","J",62,17,NA,2000-02-07,"RR",70
-81.1166666666667,29.9,-81.1166666666667,29.9,"25645","RED SNAPPER",2002-05-18,9372,"RR","J",60,16,NA,2002-07-13,"RR",70
-81.0833333333333,29.95,-81.1166666666667,29.9,"26202","RED SNAPPER",1999-06-30,9742,"RR","",69,16,NA,1999-08-12,"RR",60
-80.95,29.8333333333333,-80.3333333333333,29.8333333333333,"26224","RED SNAPPER",1999-07-04,9754,"RR","J",80,16,NA,2003-07-15,"RR",130
-81.1166666666667,29.9,-81.1166666666667,29.9,"26260","RED SNAPPER",1999-07-13,9796,"RR","J",65,11,NA,1999-11-13,"RR",65
-81.1166666666667,29.9,-81.1333333333333,29.9,"26261","RED SNAPPER",1999-07-13,9797,"RR","J",65,14,NA,1999-12-14,"RR",70
-80.9166666666667,29.6333333333333,-80.9666666666667,29.6666666666667,"26300","RED SNAPPER",1999-06-29,9853,"RR","",55,16,NA,1999-07-14,"RR",65
-81.1,29.9333333333333,-81.1,29.9333333333333,"26326","RED SNAPPER",1999-08-22,9880,"RR","J",60,NA,NA,1999-11-16,"RR",60
-81.1166666666667,29.9,-81.1166666666667,29.8833333333333,"26394","RED SNAPPER",1999-07-30,9953,"RR","J",62,9,NA,1999-08-20,"RR",60
-80.7333333333333,29.7666666666667,-80.7333333333333,29.7833333333333,"26582","RED SNAPPER",2005-07-29,37717,"RR","J",100,13,NA,2005-11-05,"RR",98
-81.1166666666667,29.9,-81.1166666666667,29.9,"26900","RED SNAPPER",2001-04-16,10333,"RR","J",65,12,NA,2001-05-16,"RR",70
-81.1166666666667,29.8666666666667,-81.1166666666667,29.8833333333333,"27621","RED SNAPPER",1999-07-10,10991,"RR","J",62,10.5,NA,1999-08-05,"RR",65
-81.1166666666667,29.9,-81.1166666666667,29.9,"27692","RED SNAPPER",1999-07-08,11037,"RR","J",70,10,NA,1999-07-19,"RR",70
-81.1166666666667,29.9,-81.1166666666667,29.9,"28024","RED SNAPPER",1999-06-20,11298,"RR","J",68,17,NA,1999-07-17,"RR",68
-81.1166666666667,29.9,-81.1333333333333,29.9,"28029","RED SNAPPER",1999-06-20,11304,"RR","J",68,15,NA,1999-07-31,"RR",65
